k,Energy (eV)
0.39141,-9.46229
0.4175,-9.458207
0.4436,-9.459568
0.46969,-9.460929
0.49578,-9.46229
0.52188,-9.46365
0.54797,-9.46365
0.57406,-9.465011
0.60016,-9.466372
0.62625,-9.466372
0.65235,-9.466372
0.67844,-9.467731
0.70453,-9.467731
0.73063,-9.467731
0.75672,-9.467731
,
,
0.0,-9.477256
0.0261,-9.473174
0.05219,-9.469092
0.07828,-9.465011
0.10438,-9.460929
0.13047,-9.458207
0.15656,-9.454125
0.18266,-9.450044
0.20875,-9.445963
0.23485,-9.444602
0.26094,-9.447323
0.28703,-9.448684
0.31313,-9.451405
0.33922,-9.452765
0.36531,-9.454125
0.39141,-9.456847
0.4175,-9.458207
0.4436,-9.459568
0.46969,-9.460929
0.49578,-9.46229
0.52188,-9.46365
0.54797,-9.46365
0.57406,-9.465011
0.60016,-9.466372
0.62625,-9.466372
0.65235,-9.466372
0.67844,-9.467731
0.70453,-9.467731
0.73063,-9.467731
0.75672,-9.467731
,
,
0.0,-9.433717
0.0261,-9.433717
0.05219,-9.433717
0.07828,-9.435078
0.10438,-9.436439
0.13047,-9.437799
0.15656,-9.439159
0.18266,-9.44052
0.20875,-9.443241
0.23485,-9.444602
0.26094,-9.447323
0.28703,-9.448684
0.31313,-9.451405
0.33922,-9.452765
0.36531,-9.454125
0.39141,-9.456847
0.4175,-9.455486
0.4436,-9.448684
0.46969,-9.443241
0.49578,-9.436439
0.52188,-9.430996
0.54797,-9.425553
0.57406,-9.421472
0.60016,-9.417391
0.62625,-9.413309
0.65235,-9.410587
0.67844,-9.407866
0.70453,-9.406506
0.73063,-9.405145
0.75672,-9.405145
,
,
0.0,-9.433717
0.0261,-9.433717
0.05219,-9.433717
0.07828,-9.435078
0.10438,-9.436439
0.13047,-9.437799
0.15656,-9.439159
0.18266,-9.44052
0.20875,-9.443241
0.23485,-9.441881
0.26094,-9.437799
0.28703,-9.433717
0.31313,-9.429635
0.33922,-9.425553
0.36531,-9.421472
0.39141,-9.417391
0.4175,-9.413309
0.4436,-9.409226
